from_totally_fake_account,total_transactions,average_transaction_amount
4585,184,9.211195652173913
4623,184,9.309891304347826
4710,176,15.275852272727274
4717,183,15.638852459016393
4731,162,17.092654320987656
4767,164,11.918902439024391
4809,170,15.758764705882351
4819,125,16.7924
4823,150,14.866933333333334
4832,122,15.29172131147541
4888,189,15.29952380952381
4898,141,6.322553191489362
4930,122,12.644590163934428
5001,177,16.021694915254237
5093,131,11.45648854961832
5108,179,13.92
5119,166,16.694156626506025
5173,122,17.138196721311477
5174,159,11.83125786163522
5215,165,12.031818181818181
5283,160,12.66875
5289,204,11.271127450980392
5291,138,14.454202898550726
5298,206,10.681019417475728
5319,174,10.049655172413793
5357,195,11.870717948717948
5462,140,15.351785714285715
5486,173,12.262543352601156
5511,152,10.919605263157894
5514,204,8.466666666666667
5522,195,9.364820512820513
5525,138,11.632826086956522
5671,130,15.742076923076922
5679,126,16.94690476190476
5701,184,8.141847826086956
5805,206,10.38611650485437
5844,139,13.463669064748201
5852,145,14.856068965517242
5853,151,13.31476821192053
5941,160,8.255812500000001
5960,185,11.067081081081081
5984,176,11.133863636363635
6010,137,14.880437956204378
6016,124,11.543145161290322
6053,167,14.027305389221556
6058,178,11.178426966292134
6059,129,11.340077519379847
6094,123,17.10211382113821
6154,193,10.575077720207254
6233,182,10.409010989010989
6302,122,16.27950819672131
6315,136,14.74375
6339,136,16.048455882352943
6347,164,10.1075
6360,175,12.083885714285714
6362,124,12.774435483870967
6431,126,13.748333333333333
6459,194,9.357731958762887
6468,130,13.594384615384616
6517,152,14.025263157894738
6518,208,14.186874999999999
6540,195,11.346051282051283
6563,163,8.995398773006135
6575,123,13.278373983739838
6616,210,10.919428571428572
6653,156,13.55352564102564
6677,151,12.31543046357616
6782,144,11.517430555555556
6829,144,11.313472222222224
6842,134,11.81962686567164
6919,166,8.953012048192772
6947,177,12.164124293785312
7014,192,13.716979166666667
7020,183,15.645573770491803
7059,154,16.14142857142857
7088,175,9.756628571428571
7120,165,13.707454545454546
7129,126,17.22531746031746
7150,124,12.500967741935485
7170,138,13.29731884057971
7192,172,11.629767441860464
7234,157,9.747515923566878
7235,185,16.224216216216217
7248,185,8.146756756756757
7300,158,14.01613924050633
7301,187,10.283155080213904
7310,198,9.020909090909091
7312,156,14.757884615384615
7330,198,11.723585858585858
7389,129,15.729922480620155
7395,188,12.052340425531916
7453,219,12.773196347031963
7472,179,16.87296089385475
7475,155,11.088064516129032
7485,172,14.950406976744187
7550,178,15.400056179775282
7664,125,10.82048
7831,156,15.484935897435898
7851,184,10.41054347826087
7877,151,16.246423841059602
7964,188,9.322180851063829
7984,130,13.034307692307692
8058,159,9.487735849056603
8059,145,16.126965517241377
8094,150,12.273733333333332
8144,133,13.838947368421053
8164,201,10.666019900497512
8232,155,11.98741935483871
8267,187,11.259625668449198
8334,170,13.608941176470589
8438,143,12.665944055944056
8473,172,13.22906976744186
8506,185,16.954216216216217
8556,126,13.101190476190476
8633,186,14.618118279569892
8655,139,14.903812949640288
8682,148,13.334391891891892
8691,162,15.02901234567901
8801,151,17.163311258278146
8815,143,11.486783216783216
8968,144,9.684861111111111
9022,127,14.941181102362204
9041,217,11.002119815668204
9088,126,12.637619047619047
9186,146,9.963287671232877
9189,130,17.084846153846154
9218,159,12.004025157232704
9347,206,9.515533980582525
9360,183,11.265573770491804
9381,141,14.665177304964539
9399,160,11.6599375
9407,135,15.940962962962965
9480,184,10.229510869565217
9499,142,12.524718309859155
9508,165,14.38739393939394
9579,191,11.14785340314136
9600,163,8.662638036809815
9687,134,12.816268656716419
9724,196,10.28265306122449
9869,230,11.795652173913043
9880,148,15.652702702702703
9916,205,7.359365853658536
9925,180,12.548722222222223
9983,171,12.144912280701755
10004,187,9.48951871657754
10145,239,8.073347280334728
10179,180,10.250444444444444
10253,181,10.058066298342542
10259,170,13.337588235294117
10356,185,10.107945945945946
10371,180,13.2895
10402,126,14.652857142857142
10485,223,8.850627802690584
10514,178,12.982191011235955
10538,163,11.819325153374233
10581,186,11.212096774193547
10634,132,14.700833333333334
10636,130,15.097923076923077
10709,169,8.150532544378699
10794,145,14.938689655172414
10813,198,12.314595959595959
10826,216,10.031898148148148
10866,170,11.82170588235294
11054,126,10.59595238095238
11056,150,12.228066666666667
11057,152,9.061842105263159
11096,192,8.20890625
11111,131,11.909236641221373
11120,156,15.769102564102564
11124,126,16.05936507936508
11143,200,9.29205
11167,128,16.793515625
11171,212,10.10443396226415
11177,185,14.880486486486486
11182,175,11.976057142857142
11202,196,7.134693877551021
11232,205,9.117902439024391
11239,164,13.147621951219513
11303,124,16.520564516129035
11314,217,16.513271889400922
11420,123,16.855040650406504
11426,170,16.886058823529414
11448,177,14.411977401129944
11454,153,12.420784313725491
11494,129,15.007984496124031
11505,174,13.866494252873563
11550,170,6.331117647058823
11559,138,15.215579710144928
11563,130,15.973615384615385
11648,140,15.151142857142856
11756,176,16.046363636363637
11762,164,13.058841463414634
11765,157,11.092866242038216
11821,201,13.046318407960198
11827,160,16.8766875
11964,128,16.805625
11988,136,9.317720588235295
12035,179,11.766927374301675
12060,170,12.250529411764706
12148,135,13.561629629629628
12229,138,13.152028985507247
12259,151,8.766754966887417
12316,142,14.498028169014082
12356,146,17.025205479452055
12378,181,8.756243093922652
12384,144,12.334027777777777
12387,173,10.238901734104045
12407,182,8.828461538461537
12501,168,14.10482142857143
12542,177,9.990621468926554
12585,168,13.785357142857142
12649,180,12.911166666666668
12733,174,7.304425287356322
12774,260,14.538846153846153
12781,133,13.75406015037594
12818,150,14.640066666666666
12913,189,11.731534391534392
12971,176,12.09875
12988,133,16.72270676691729
13001,147,10.676802721088436
13054,142,15.938098591549297
13069,262,12.60087786259542
13148,164,10.249573170731708
13152,195,10.795948717948718
13219,195,11.640051282051282
13243,154,12.287077922077922
13252,218,11.667018348623852
13311,169,16.964437869822486
13375,174,13.665344827586207
13502,199,9.905929648241205
13508,125,16.43608
13633,198,11.467525252525254
13798,178,10.157191011235955
13865,135,12.333333333333334
13881,161,13.459565217391303
13904,144,5.7931944444444445
13977,130,16.94253846153846
14040,188,11.741117021276596
14069,194,11.535463917525774
14101,127,15.859133858267716
14139,144,15.591111111111111
14154,122,15.88139344262295
14190,141,13.666524822695036
14214,246,17.19930894308943
14272,174,9.415229885057471
14420,172,11.519186046511628
14426,149,13.658322147651006
14448,144,14.128888888888888
14458,146,13.079863013698631
14460,227,9.650176211453745
14467,234,8.267905982905983
14534,131,12.373282442748092
14543,128,13.361953125
14556,160,15.008750000000001
14563,167,13.805029940119761
14577,239,8.68121338912134
14593,160,12.826125
14769,139,16.749496402877696
14788,165,10.394545454545455
14837,186,9.833548387096775
14877,261,10.396819923371648
14879,165,15.13460606060606
14899,142,9.795704225352113
14935,148,7.300675675675675
15078,160,9.339437499999999
15083,175,15.530742857142858
15148,169,11.546508875739644
15165,187,12.231069518716577
15184,132,16.449242424242424
15197,185,14.008000000000001
15214,134,17.029701492537313
15239,156,14.302884615384615
15240,123,14.41430894308943
15258,180,15.892833333333334
15274,161,10.269565217391305
15277,128,11.911328125
15320,166,12.539096385542168
15347,147,13.67795918367347
15354,165,14.331818181818182
15418,186,14.95510752688172
15424,125,13.37152
15438,127,14.26992125984252
15444,137,13.12153284671533
15468,184,11.00282608695652
15471,203,10.671724137931035
15501,131,9.719999999999999
15597,128,14.743359375
15618,157,12.542292993630573
15711,178,16.200898876404494
15823,178,15.66185393258427
15829,165,11.267454545454546
15838,145,14.251379310344829
15896,190,14.417368421052632
15911,204,8.86906862745098
15929,152,13.779868421052631
15935,170,14.424882352941177
15944,184,10.83820652173913
15975,172,13.205058139534884
16007,231,13.23961038961039
16016,192,15.593385416666665
16034,196,13.242551020408163
16105,135,12.246518518518519
16155,171,11.69140350877193
16187,174,10.106954022988505
16210,224,8.498928571428571
16247,152,11.275855263157895
16249,195,7.360461538461538
16275,159,12.442830188679245
16291,194,12.168505154639176
16299,222,9.989054054054055
16357,153,9.34529411764706
16392,122,15.641639344262295
16419,131,11.995648854961832
16469,141,15.139645390070923
16475,124,15.329193548387096
16544,133,16.83872180451128
16588,145,17.176896551724138
16709,212,10.080801886792454
16731,209,13.73181818181818
16739,157,11.944140127388534
16751,170,9.96
16753,185,12.39291891891892
16779,160,12.304
16784,200,13.194949999999999
16802,137,16.723357664233575
16817,180,10.3715
16834,168,11.722738095238096
16870,145,16.157999999999998
16902,145,13.545310344827586
16918,234,9.882564102564103
16944,149,15.639664429530201
16986,156,15.327371794871796
16993,212,8.134811320754716
17004,154,9.584090909090909
17016,186,9.396612903225806
17025,123,13.182845528455285
17027,198,12.409090909090908
17034,196,10.520663265306123
17041,182,10.042912087912088
17052,161,7.406645962732919
17158,220,7.436318181818182
17161,125,9.4976
17185,149,13.352013422818793
17191,141,11.235106382978724
17225,165,17.06630303030303
17328,199,8.88321608040201
17382,153,11.790588235294118
17419,186,17.093440860215054
17434,141,10.813900709219858
17479,184,12.037336956521738
17487,149,8.8051677852349
17526,182,13.476813186813187
17555,199,11.59708542713568
17608,209,11.001052631578949
17622,205,9.02239024390244
17624,167,14.577724550898203
17662,187,14.649411764705883
17707,218,11.374633027522936
17717,178,11.849775280898877
17730,133,15.900526315789474
17744,171,10.958830409356725
17750,163,13.821779141104294
17763,165,14.229999999999999
17765,145,13.527793103448275
17769,141,12.577517730496455
17844,131,13.45618320610687
17857,191,12.64916230366492
17946,209,11.41980861244019
18035,156,12.037051282051282
18061,142,15.628309859154932
18114,129,16.053565891472868
18153,163,13.641042944785275
18164,126,14.405396825396824
18199,171,11.382748538011697
18405,171,10.874327485380118
18528,174,15.144137931034482
18555,230,10.591695652173915
18602,196,14.722857142857142
18634,224,10.427276785714286
18666,169,9.081479289940829
18732,134,10.121716417910447
18754,130,12.332461538461539
18758,168,11.663809523809524
18788,170,12.646235294117648
18793,140,7.293285714285714
18836,136,15.097279411764706
18840,129,15.243410852713179
18852,172,10.27982558139535
18860,191,16.26214659685864
18865,222,13.786351351351351
18881,173,9.926589595375722
18882,182,10.26423076923077
19015,130,12.73023076923077
19143,129,13.731472868217054
19207,162,9.756296296296297
19212,143,13.045034965034965
19214,190,10.303368421052632
19245,185,14.734756756756756
19268,175,12.551314285714286
19325,122,13.754918032786884
19327,146,13.316232876712327
19370,212,12.502924528301886
19429,217,9.55188940092166
19519,164,14.369817073170733
19545,197,12.191421319796955
19561,148,14.388378378378379
19566,144,16.296319444444446
19608,135,15.267111111111111
19633,143,13.848951048951047
19641,128,12.9453125
19672,165,16.738424242424244
19676,157,6.914140127388535
19680,124,10.927016129032259
19744,171,8.89327485380117
19758,168,17.11732142857143
19761,196,16.447448979591837
19816,218,9.483165137614678
19841,182,12.974450549450548
19878,214,12.708691588785046
19884,173,10.544797687861271
19936,140,15.424785714285713
19947,150,8.155800000000001
19993,171,11.769766081871344
20003,156,15.444871794871796
20005,171,11.723391812865497
20011,131,11.430992366412214
20017,164,16.832865853658536
20076,148,15.61587837837838
20089,185,7.839081081081082
20099,133,13.528872180451128
20100,178,9.382696629213482
20133,155,9.467548387096775
20147,144,10.311666666666666
20251,165,15.381030303030302
20253,164,13.887865853658537
20304,162,8.374506172839506
20388,139,16.73165467625899
20424,149,13.70973154362416
20431,201,10.74089552238806
20434,128,12.7653125
20505,159,11.01559748427673
20568,174,15.20764367816092
20575,156,15.446538461538461
20594,172,9.889825581395348
20724,147,14.961972789115645
20729,153,11.018235294117646
20755,131,16.533206106870228
20756,168,16.978452380952383
20764,185,10.298540540540541
20772,187,9.097379679144385
20791,198,11.863282828282827
20801,217,10.17958525345622
20804,174,12.105574712643678
20823,142,15.256901408450704
20841,129,16.507286821705428
20911,169,13.254615384615386
20912,124,14.89258064516129
20916,125,12.324879999999999
20921,164,15.859756097560975
20952,151,16.61927152317881
20981,165,11.667696969696971
20984,188,15.206063829787233
21000,127,16.273464566929135
21006,212,12.98316037735849
21066,181,7.3914917127071815
21075,193,14.450880829015544
21087,160,17.2483125
21101,157,15.0028025477707
21153,123,12.067560975609755
21159,137,12.662481751824817
21222,196,13.431224489795918
21230,165,12.776545454545456
21237,128,16.845234375
21299,123,14.760325203252032
21321,188,12.67218085106383
21353,157,11.288917197452228
21368,122,12.061803278688524
21385,178,14.388988764044942
21435,154,13.564350649350649
21507,181,10.917016574585636
21515,123,16.031219512195122
21532,187,11.843101604278074
21555,141,12.429290780141844
21563,180,11.149277777777778
21583,171,9.934093567251463
21593,145,16.176758620689657
21603,155,11.82083870967742
21631,124,10.935967741935483
21655,158,13.597911392405061
21667,200,10.641449999999999
21686,199,6.5419597989949745
21802,172,12.269476744186045
21826,142,14.383802816901408
21859,168,12.069404761904762
21920,153,13.403856209150327
21922,192,10.900885416666666
21928,161,17.04248447204969
21937,189,10.568359788359789
22020,156,7.852307692307693
22033,203,10.644827586206898
22106,207,9.280869565217392
22121,214,13.202196261682243
22181,126,16.733571428571427
22188,149,9.981744966442953
22253,136,10.343676470588235
22275,180,9.67361111111111
22291,155,11.86883870967742
22314,191,12.279476439790576
22418,181,15.113756906077349
22425,202,13.876485148514853
22506,169,10.012071005917159
22520,187,9.350213903743315
22567,161,11.033975155279503
22725,158,14.672721518987341
22749,153,13.857189542483662
22814,174,12.64764367816092
22824,177,14.250282485875708
22835,141,16.400425531914895
22861,178,9.755168539325844
22873,147,15.637551020408162
22877,209,14.646842105263158
22917,159,9.925786163522012
22984,143,12.614475524475525
23000,178,9.183764044943821
23007,142,11.940915492957748
23019,170,12.26870588235294
23067,130,13.621230769230769
23076,146,15.70095890410959
23086,198,11.876515151515152
23110,158,13.372341772151898
23234,250,10.08424
23275,180,8.868555555555556
23369,204,8.279166666666667
23387,194,11.17438144329897
23502,154,13.120000000000001
23521,164,8.028353658536586
23585,187,8.134491978609626
23637,149,12.608456375838927
23652,123,14.818943089430894
23718,237,9.881518987341773
23727,261,9.425249042145593
23733,176,13.99909090909091
23748,212,12.770471698113209
23819,152,13.976776315789472
23849,144,13.948541666666666
23872,146,16.32972602739726
23896,132,13.330606060606062
23969,152,11.04967105263158
23970,185,10.937027027027028
23978,146,14.74191780821918
23981,183,12.424535519125683
23982,159,12.194213836477989
24009,155,6.759935483870968
24030,173,10.669132947976879
24033,227,7.477224669603524
24035,163,10.288098159509202
24095,186,9.545
24185,131,15.257404580152672
24193,142,16.544999999999998
24198,230,10.964304347826086
24202,141,8.920283687943263
24230,192,13.126614583333334
24232,137,12.824379562043797
24247,229,11.956812227074236
24252,189,14.662169312169313
24271,136,14.037132352941176
24278,152,13.105723684210526
24343,171,11.758479532163744
24375,156,9.242820512820511
24441,154,7.921948051948052
24449,127,16.34267716535433
24540,140,15.359714285714286
24575,185,10.099675675675677
24600,179,12.669776536312849
24618,206,10.455242718446604
24658,128,16.356640625
24663,176,10.037329545454545
24698,238,8.356470588235293
24719,156,10.493397435897435
24731,149,15.846375838926175
24739,136,12.64860294117647
24757,158,13.977911392405066
24842,172,9.31296511627907
24882,156,11.339423076923078
24890,171,10.363216374269005
24903,147,17.048163265306123
24954,187,11.49245989304813
24990,127,15.591811023622048
25032,127,16.068188976377954
25040,127,15.37984251968504
25046,170,14.690176470588234
25106,143,14.051958041958043
25125,131,17.216183206106873
25192,126,12.538095238095238
25210,146,8.297465753424659
25212,212,12.227971698113207
25253,166,12.563433734939757
25286,173,10.942774566473988
25304,159,12.814654088050315
25362,133,12.136015037593983
25365,137,14.347226277372263
25412,122,14.150573770491802
25415,158,14.304367088607595
25429,168,8.825238095238095
25451,204,7.607990196078431
25480,173,16.971907514450866
25505,153,16.464052287581698
25518,126,9.076746031746032
25551,131,16.38977099236641
25574,160,13.543437500000001
25594,126,13.390634920634922
25630,190,8.102368421052631
25654,131,16.93870229007634
25657,165,11.17260606060606
25696,168,11.425416666666667
25711,187,13.630641711229945
25714,166,10.380481927710845
25716,181,13.94121546961326
25718,195,8.930307692307693
25756,129,15.648372093023255
25758,126,12.912857142857142
25779,124,14.027903225806451
25807,138,15.239492753623189
25812,132,13.374621212121212
25859,179,8.247597765363128
25906,139,17.182086330935253
25908,170,10.519117647058824
25975,216,9.458935185185185
25997,191,8.821780104712042
26052,177,15.920564971751412
26061,193,12.962797927461141
26091,167,8.34508982035928
26149,142,14.126478873239437
26173,192,11.101770833333333
26439,140,15.508642857142858
26464,135,11.930814814814815
26523,182,9.969835164835164
26534,155,13.932580645161291
26536,144,10.593958333333333
26568,222,10.500405405405406
26652,143,13.18867132867133
26819,123,16.861626016260164
26846,155,11.410967741935485
26847,128,11.553749999999999
26890,222,8.469324324324324
26969,154,9.722467532467533
27035,127,11.995826771653544
27135,131,16.348320610687022
27292,127,11.679842519685039
27342,184,12.425597826086957
27399,214,7.63158878504673
27406,172,8.20843023255814
27575,176,16.90284090909091
27661,194,9.212835051546392
27678,184,15.190163043478263
27697,175,14.264457142857143
27700,158,11.773354430379747
27704,174,10.836436781609196
27784,138,12.39586956521739
27867,183,11.520546448087433
27887,151,12.032516556291391
27983,223,7.989282511210762
28085,128,15.685703125
28234,133,15.727518796992483
28242,181,11.081270718232044
28272,134,14.139701492537313
28316,188,14.521755319148937
28386,147,11.412244897959184
28420,191,11.28539267015707
28441,146,13.501164383561644
28476,170,11.949235294117646
28513,198,15.038939393939394
28521,164,11.015
28542,132,15.32
28559,177,16.340847457627117
28582,179,16.16877094972067
28603,162,8.617222222222223
28676,162,10.503086419753087
28690,131,15.790687022900762
28750,184,15.437391304347827
28776,200,10.2969
28887,140,15.714214285714288
28972,178,10.940842696629213
29008,181,9.703591160220993
29030,122,12.233032786885246
29038,175,14.666171428571428
29051,189,12.151798941798942
29058,160,13.8553125
29198,163,14.48245398773006
29202,150,14.520666666666665
29240,200,13.73565
29245,165,9.859030303030304
29259,123,16.243658536585365
29264,136,13.976764705882353
29303,133,16.66
29305,128,12.7125
29403,241,10.06817427385892
29439,146,15.01554794520548
29460,230,10.271652173913044
29707,138,14.387898550724637
29708,168,16.874761904761904
29764,208,9.602596153846154
29798,196,17.05311224489796
29810,131,16.185648854961833
29859,138,14.070797101449275
29869,127,14.087559055118112
29922,173,14.399479768786128
29934,155,13.835096774193548
30040,142,12.774366197183099
30050,180,12.690333333333335
30053,136,12.06529411764706
30122,190,14.615736842105262
30129,129,12.571162790697676
30158,161,11.062049689440993
30198,155,11.848322580645162
30277,125,12.1908
30279,153,17.162091503267973
30292,176,13.873181818181818
30311,174,9.797471264367816
30342,166,12.346204819277107
30365,157,11.989490445859872
30430,170,9.922470588235294
30475,196,8.510867346938776
30508,154,16.109610389610392
30536,180,9.069111111111111
30605,193,12.62979274611399
30673,128,10.999609375
30728,168,17.022976190476193
30760,191,15.079528795811518
30885,144,15.781180555555558
30894,151,16.002119205298015
30962,204,12.053823529411765
30986,178,15.515168539325842
31002,174,12.883275862068967
31043,179,13.957877094972067
31134,139,9.143884892086332
31140,198,8.643939393939394
31155,180,12.721055555555555
31243,142,11.242957746478874
31249,224,13.852500000000001
31299,207,10.634975845410628
31329,158,13.953101265822786
31354,131,16.725801526717557
31418,146,11.937260273972603
31467,183,13.212021857923498
31489,122,15.870409836065575
31502,210,9.540714285714285
31514,136,11.160514705882353
31551,237,9.381603375527426
31562,142,15.027042253521127
31650,203,15.11694581280788
31686,162,8.580246913580247
31726,187,10.651550802139038
31792,164,12.613597560975611
31814,135,11.169851851851853
31840,157,15.741273885350319
31898,146,16.339383561643835
31949,185,11.737135135135135
31957,163,12.417484662576687
31974,167,9.388323353293412
32016,150,9.028866666666666
32075,131,14.035648854961833
32108,149,11.593221476510069
32112,122,14.153934426229508
32131,127,12.635275590551181
32150,137,16.836715328467154
32166,185,12.781675675675677
32186,178,15.459494382022472
32197,157,13.53687898089172
32221,141,15.040921985815602
32242,132,15.424393939393939
32333,191,8.25696335078534
32345,172,11.884127906976744
32382,211,9.885355450236966
32387,140,16.74742857142857
32402,124,7.122016129032258
32413,129,16.775116279069767
32418,228,13.109649122807017
32437,128,11.706640625
32452,161,14.056211180124224
32491,133,10.60827067669173
32516,132,12.663863636363635
32521,187,12.53390374331551
32534,136,11.412426470588235
32541,230,15.048565217391305
32635,222,12.161261261261263
32641,169,8.829881656804734
32760,146,14.16349315068493
32767,160,13.358500000000001
32768,135,16.95740740740741
32808,128,14.392421875
32827,227,9.467973568281938
32832,147,13.362993197278913
32858,150,13.5184
32865,133,12.620075187969926
32988,166,14.436204819277108
32998,179,15.312067039106147
33065,128,13.83734375
33082,138,14.678985507246377
33086,188,16.86787234042553
33121,242,9.637809917355371
33257,131,12.48916030534351
33270,132,13.81189393939394
33335,124,11.764354838709677
33443,150,9.460333333333333
33486,175,12.480514285714287
33512,128,14.537265625
33549,155,12.65374193548387
33557,176,12.150454545454545
33571,183,11.546338797814208
33583,141,13.953191489361704
33633,213,13.56206572769953
33710,211,12.15047393364929
33714,132,16.596969696969698
33732,199,9.934974874371859
33799,153,12.723006535947711
33814,127,11.410472440944881
33882,137,12.675401459854015
33899,215,8.708232558139535
33917,164,13.009878048780488
33923,178,13.875056179775282
34055,132,16.162424242424244
34097,175,11.096
34123,157,13.404140127388533
34128,148,11.65087837837838
34136,165,13.322181818181818
34144,219,16.018447488584474
34168,140,15.352000000000002
34196,157,12.499554140127389
34263,145,16.815793103448275
34532,145,16.53986206896552
34533,193,12.527720207253886
34542,123,12.581707317073171
34568,151,15.133443708609272
34573,143,16.97055944055944
34672,125,14.812719999999999
34678,141,13.209999999999999
34689,177,9.008305084745762
34698,135,16.98762962962963
34721,149,14.61275167785235
34748,222,11.514279279279279
34772,178,12.428988764044945
34785,188,15.179521276595745
34797,130,15.107384615384616
34808,188,16.828617021276596
34861,158,12.370696202531645
35011,176,12.906988636363637
35013,178,10.67443820224719
35020,171,12.411286549707603
35038,159,10.572075471698113
35121,132,13.838409090909092
35148,193,10.294455958549223
35159,193,12.815284974093263
35166,221,8.79475113122172
35177,133,13.318045112781954
35180,168,11.779464285714287
35190,250,14.6882
35212,153,16.281111111111112
35238,146,13.47109589041096
35239,185,15.796162162162162
35307,164,14.43451219512195
35317,165,15.610060606060605
35375,182,9.805054945054945
35403,172,16.486918604651162
35504,230,10.177478260869563
35516,141,9.486241134751772
35625,179,12.126536312849163
35659,123,16.49780487804878
35709,172,14.389883720930232
35774,185,16.864324324324325
35802,160,9.401875
35823,128,11.414296875
35840,197,13.660710659898477
35953,180,14.256333333333332
35960,171,10.189590643274855
36083,124,13.117177419354839
36117,214,16.27696261682243
36150,209,13.195167464114832
36179,186,9.14521505376344
36205,183,12.076284153005465
36280,129,12.264108527131782
36285,179,14.911284916201117
36335,177,10.274067796610169
36353,182,14.525054945054945
36380,136,13.264264705882354
36391,134,14.091268656716418
36426,241,11.251618257261411
36501,185,10.649135135135134
36648,175,8.559428571428572
36659,207,10.864009661835748
36725,122,15.189426229508197
36757,148,13.726013513513514
36802,181,8.971767955801106
36856,125,16.99064
36877,180,13.173833333333333
36888,144,12.175833333333333
36919,209,11.9188995215311
36923,144,12.797222222222222
37080,137,13.854817518248174
37083,132,12.43159090909091
37094,170,12.842411764705883
37139,183,12.400546448087432
37200,208,9.29985576923077
37205,126,13.836587301587302
37223,135,15.967481481481482
37225,151,13.378543046357617
37249,140,15.609142857142858
37260,176,13.245284090909092
37425,146,17.099794520547945
37432,213,9.887183098591548
37524,124,11.785403225806453
37530,132,15.378787878787879
37538,123,15.11130081300813
37596,190,15.759052631578946
37633,146,11.593698630136986
37687,127,16.409448818897637
37688,150,15.647666666666668
37764,182,15.206208791208793
37820,168,13.852857142857143
37882,163,10.454601226993866
37949,140,16.582785714285716
37978,159,12.42062893081761
37990,143,15.98853146853147
38031,152,16.86013157894737
38048,188,7.725106382978723
38057,203,9.12487684729064
38114,210,14.986809523809525
38171,141,13.713546099290781
38188,129,13.486976744186046
38214,183,9.447540983606558
38288,138,13.765217391304347
38292,122,16.24122950819672
38302,163,17.07674846625767
38315,139,14.52273381294964
38359,133,17.206541353383457
38394,217,17.24493087557604
38419,169,10.11
38429,144,11.852152777777778
38435,151,12.081986754966888
38455,170,12.52335294117647
38480,178,9.897977528089887
38526,163,13.760920245398774
38534,131,12.693358778625953
38625,175,12.362742857142857
38659,168,11.420714285714286
38663,138,15.80949275362319
38709,172,13.378255813953489
38748,195,7.953897435897436
38905,152,12.150657894736844
38966,207,12.46903381642512
39078,198,9.711363636363636
39083,132,13.982045454545455
39108,160,11.5095625
39111,150,12.849533333333333
39131,174,10.840344827586208
39151,144,16.59923611111111
39192,137,12.367810218978104
39239,192,12.635468750000001
39262,164,8.574390243902439
39298,190,9.755210526315789
39301,150,11.855333333333332
39347,149,15.875973154362416
39372,194,11.586340206185566
39437,162,13.815617283950617
39452,181,10.387955801104972
39511,152,14.739736842105264
39518,122,13.88155737704918
39540,186,12.385913978494623
39543,210,13.926761904761904
39589,172,16.525755813953488
39596,233,9.171201716738198
39597,178,13.15876404494382
39680,129,8.443798449612403
39683,179,15.6068156424581
39706,148,15.809797297297298
39736,149,13.786778523489932
39803,161,10.878881987577639
39841,150,11.954066666666668
39906,128,14.65453125
39937,142,13.461478873239436
39956,142,16.678802816901406
39989,139,10.241510791366906
40106,162,14.408086419753086
40131,162,17.25746913580247
40137,160,13.8343125
40225,185,13.67881081081081
