shops,Total_Amount,Average_Amount,Transaction_Count,Consumption_Level
BOOKSHOP,324530.0,12.393263575956619,26186,Standard Spending
G&T_BAR,1368650.0,11.107459076928071,123219,Standard Spending
COCKTAIL_BAR,1366895.5,11.10610923331925,123076,Standard Spending
WHISKEY_BAR,1363735.0,11.096297803091945,122900,Standard Spending
WINE_BAR,1353191.5,11.092188204434608,121995,Standard Spending
BAR,8458081.5,10.978618638809783,770414,Standard Spending
LOCAL_WATERING_HOLE,7116813.0,10.965087058946787,649043,Standard Spending
NERDY_BOOK_STORE,269966.0,10.726983748559622,25167,Standard Spending
COMIC_BOOK_SHOP,269629.0,10.694895085478562,25211,Standard Spending
STREAMING_SERVICE,354601.55999999994,8.989999999999998,39444,Standard Spending
CINEMA,433414.0,6.400561175515026,67715,Standard Spending
DVD_SHOP,433039.0,6.397763200661879,67686,Standard Spending
CAFE,489245.5,4.40210457175249,111139,Standard Spending
KEBAB_SHOP,490061.5,4.401525970235048,111339,Standard Spending
SANDWICH_SHOP,489061.5,4.400290616593038,111143,Standard Spending
LUNCH_VAN,487625.0,4.395156202116345,110946,Standard Spending
LUNCH_PLACE,488920.0,4.392614887022146,111305,Standard Spending
GOURMET_COFFEE_SHOP,561950.0,2.4173843466889213,232462,Standard Spending
PRETENTIOUS_COFFEE_SHOP,562806.5499999999,2.4168064430244938,232872,Standard Spending
HIPSTER_COFFEE_SHOP,561901.7,2.415867112662734,232588,Standard Spending
A_CAFE,1144734.25,2.4091857587224355,475154,Standard Spending
A_LOCAL_COFFEE_SHOP,1141932.2999999998,2.4083320152100876,474159,Standard Spending
COFFEE_SHOP,1146046.2499999998,2.4071595403477004,476099,Standard Spending
TOTALLY_A_REAL_COFFEE_SHOP,1145875.4999999998,2.406977843315184,476064,Standard Spending
