from_totally_fake_account,min_transaction_amount,max_transaction_amount
8109,2.2,1235.0
8135,2.4,581.67
8143,1.45,920.0
8166,1.45,1665.0
8194,1.45,550.0
8197,1.45,737.5
8203,1.45,587.5
8232,1.45,533.33
8236,1.45,1655.0
8250,1.5,553.33
8260,1.8,1155.0
8294,3.0,1945.0
8296,1.45,1600.0
8331,1.45,1925.0
8334,1.45,735.0
8377,1.45,1560.0
8418,1.45,845.0
8474,1.95,955.0
8487,3.0,1605.0
8506,1.45,1330.0
8507,1.45,1500.0
8518,2.25,663.33
8568,1.8,945.0
8572,1.45,1225.0
8583,1.45,892.5
8607,2.45,1910.0
8633,1.45,446.67
8661,1.45,1755.0
8668,1.45,1625.0
8682,1.45,661.67
8744,1.8,497.5
8801,1.45,837.5
8864,1.45,1665.0
8882,1.45,1655.0
8906,1.45,495.0
8907,1.45,1755.0
8919,1.45,1385.0
8947,1.45,1040.0
8982,1.45,697.5
8994,1.45,467.5
9029,1.45,636.67
9041,1.45,463.75
9048,1.45,1760.0
9075,1.45,1280.0
9076,1.45,660.0
9120,1.45,478.75
9133,1.45,1955.0
9141,2.45,1465.0
9162,1.45,1590.0
9204,1.45,802.5
9218,1.45,777.5
9225,1.45,870.0
9250,1.45,595.0
9255,1.45,538.33
9300,1.45,463.33
9303,1.45,1170.0
9323,1.45,977.5
9337,1.45,1825.0
9460,1.45,1620.0
9474,1.45,1650.0
9480,1.45,493.33
9518,2.2,506.67
9642,1.45,1225.0
9660,1.8,955.0
9678,1.45,1340.0
9740,1.45,1940.0
9756,4.5,1340.0
9820,1.8,1260.0
9869,1.45,870.0
9944,1.45,640.0
9951,1.45,1215.0
10078,1.45,1795.0
10092,1.95,1650.0
10099,1.45,1875.0
10126,1.45,1825.0
10130,2.4,1710.0
10141,1.45,1920.0
10147,1.8,1575.0
10156,2.4,481.67
10180,2.0,616.67
10209,1.45,1970.0
10215,1.45,1935.0
10253,1.45,481.25
10254,1.45,488.75
10371,1.45,585.0
10410,1.45,1745.0
10442,1.45,460.0
10451,1.8,1615.0
10454,1.45,1225.0
10479,1.45,495.0
10521,2.45,495.0
10581,1.45,610.0
10605,1.45,1920.0
10606,1.45,540.0
10641,1.45,1395.0
10659,1.45,1505.0
10695,1.45,1835.0
10696,1.45,492.5
10740,1.45,777.5
10743,1.45,1190.0
10765,1.8,1930.0
10794,1.45,955.0
10855,2.15,1725.0
10913,1.8,591.67
10937,1.45,1260.0
10944,1.45,1350.0
10963,1.45,692.5
10983,1.8,1195.0
11008,1.8,670.0
11012,2.25,1135.0
11100,1.45,930.0
11105,1.45,1545.0
11133,1.8,1615.0
11137,1.8,1010.0
11163,4.5,565.0
11177,1.45,925.0
11182,1.45,441.25
11183,1.45,1955.0
11239,1.45,472.5
11252,1.45,1820.0
11256,1.45,556.67
11314,1.45,1930.0
11343,1.45,521.67
11379,1.45,910.0
11405,1.45,1735.0
11417,1.8,521.67
11426,2.25,825.0
11451,1.45,1100.0
11454,1.45,465.0
11475,1.45,1230.0
11505,1.45,1315.0
11559,1.45,477.5
11577,1.45,441.25
11613,1.45,1670.0
11620,1.45,1310.0
11628,1.45,1210.0
11630,1.8,965.0
11648,1.45,715.0
11662,1.45,767.5
11673,1.45,1550.0
11683,2.4,727.5
11694,1.45,960.0
11729,1.8,1555.0
11734,1.45,655.0
11742,2.25,1390.0
11756,1.45,1405.0
11821,1.45,486.67
11822,1.5,1485.0
11827,1.45,1415.0
11872,1.95,1120.0
11907,1.45,467.5
11926,1.45,1640.0
11961,2.25,1260.0
11965,1.45,1285.0
11976,1.45,1785.0
12001,1.45,990.0
12035,1.45,577.5
12048,1.45,860.0
12060,1.45,491.25
12069,1.45,830.0
12127,1.45,490.0
12154,1.95,646.67
12164,1.8,1705.0
12179,2.25,1515.0
12190,1.45,1380.0
12197,1.45,1490.0
12202,1.45,815.0
12329,1.8,807.5
12351,1.8,1585.0
12356,1.45,463.75
12384,1.45,472.5
12403,1.8,1710.0
12424,1.8,715.0
12443,1.45,627.5
12470,1.45,1620.0
12501,1.45,700.0
12520,1.45,855.0
12525,1.45,1880.0
12563,1.45,587.5
12568,1.45,1945.0
12585,1.45,516.67
12630,1.45,1670.0
12650,1.45,1200.0
12652,1.45,1825.0
12665,1.45,862.5
12695,1.8,830.0
12699,1.45,950.0
12709,1.45,1315.0
12728,1.45,1150.0
12738,1.45,1280.0
12774,1.45,1880.0
12782,1.45,1560.0
12818,1.45,985.0
12831,1.45,1815.0
12903,1.45,1680.0
12935,1.45,1295.0
12964,1.45,1185.0
12993,1.8,452.5
13019,1.45,452.5
13055,1.95,915.0
13100,1.45,615.0
13165,4.0,1705.0
13205,1.45,650.0
13219,1.45,797.5
13246,1.45,597.5
13252,1.45,660.0
13278,1.45,1350.0
13311,1.45,491.25
13344,1.45,970.0
13384,1.45,830.0
13392,1.45,885.0
13485,1.45,897.5
13536,1.45,1585.0
13611,1.45,1305.0
13613,2.15,825.0
13633,1.45,450.0
13677,1.45,1170.0
13724,1.45,1710.0
13738,2.65,797.5
13798,1.45,513.33
13808,1.45,1965.0
13991,1.45,1720.0
14036,1.95,1425.0
14069,1.45,1085.0
14073,1.8,1585.0
14124,1.45,1510.0
14139,1.45,656.67
14160,1.45,1870.0
14167,1.8,895.0
14214,1.45,1805.0
14270,1.45,540.0
14277,1.45,1860.0
14289,1.45,1620.0
14326,1.45,1905.0
14345,1.45,1460.0
14358,1.45,616.67
14388,2.25,570.0
14424,1.45,1865.0
14452,1.45,583.33
14468,1.45,1010.0
14496,1.45,526.67
14506,1.8,461.67
14520,1.8,1670.0
14527,1.45,1145.0
14556,1.45,1185.0
14590,1.8,1335.0
14598,1.45,1090.0
14697,1.45,882.5
14754,1.45,1705.0
14845,1.45,705.0
14850,1.95,1865.0
14877,1.45,870.0
14879,1.45,1060.0
14894,1.45,867.5
14913,1.45,1255.0
14918,1.95,1965.0
14930,1.8,1670.0
14955,1.45,1790.0
14995,1.5,460.0
15063,1.45,1705.0
15132,1.45,1860.0
15169,1.8,1045.0
15184,1.45,820.0
15197,1.45,1140.0
15214,1.45,975.0
15250,1.95,1905.0
15258,1.45,1565.0
15264,1.45,1970.0
15265,1.45,925.0
15277,1.45,441.25
15350,1.45,895.0
15353,1.45,1055.0
15354,1.45,1005.0
15382,1.45,1365.0
15387,1.45,1760.0
15400,1.45,450.0
15418,1.45,570.0
15454,1.45,810.0
15460,1.45,1590.0
15483,1.45,1655.0
15515,1.45,1665.0
15538,1.45,491.67
15550,1.45,995.0
15575,3.0,1890.0
15585,1.45,1850.0
15597,1.45,493.75
15613,1.45,443.33
15618,1.45,575.0
15663,1.45,1675.0
15711,1.45,760.0
15717,1.45,1775.0
15737,1.45,1000.0
15788,1.45,1525.0
15823,1.45,1715.0
15838,1.45,653.33
15867,1.45,1745.0
15929,1.45,530.0
15935,1.45,850.0
15938,1.45,1995.0
15952,3.0,642.5
15954,1.45,870.0
15964,1.45,1960.0
15975,1.45,490.0
16004,1.45,970.0
16006,1.95,1410.0
16007,1.45,1135.0
16015,1.45,955.0
16020,1.45,445.0
16029,1.45,1795.0
16056,1.8,546.67
16128,1.8,1975.0
16133,1.45,1320.0
16216,1.45,1545.0
16246,1.8,1135.0
16272,1.8,1475.0
16275,1.45,612.5
16308,1.8,945.0
16318,1.45,1725.0
16338,1.45,441.25
16367,1.8,567.5
16401,1.45,1535.0
16414,1.45,525.0
16425,1.45,1070.0
16429,1.45,1250.0
16444,1.8,1605.0
16468,1.45,785.0
16506,1.45,1905.0
16509,1.45,1515.0
16523,4.0,990.0
16539,1.45,1270.0
16544,1.45,536.67
16546,1.45,590.0
16634,2.25,1555.0
16689,1.45,462.5
16698,1.45,820.0
16706,1.45,1330.0
16715,1.95,470.0
16731,1.45,443.75
16739,1.45,782.5
16784,1.45,620.0
16817,1.45,481.67
16870,1.8,457.5
16907,1.45,1550.0
16918,1.45,480.0
16941,1.5,490.0
16944,1.45,565.0
16952,1.45,1960.0
17056,3.0,1600.0
17057,1.45,1480.0
17089,1.45,1870.0
17127,2.15,892.5
17151,1.45,1520.0
17169,1.45,977.5
17195,1.45,655.0
17225,1.45,985.0
17243,1.45,441.25
17256,1.45,865.0
17259,1.45,1920.0
17287,1.45,1405.0
17291,1.45,1755.0
17294,1.8,1925.0
17311,1.45,1860.0
17323,1.45,1095.0
17379,1.45,1765.0
17398,1.45,1610.0
17419,1.45,1685.0
17424,1.8,1845.0
17427,1.45,600.0
17443,1.45,1310.0
17467,1.45,1580.0
17469,1.45,620.0
17479,1.45,880.0
17517,1.5,1980.0
17526,1.45,498.33
17528,1.95,895.0
17555,1.45,800.0
17569,1.45,665.0
17613,1.45,1010.0
17647,1.45,565.0
17662,1.45,1375.0
17670,3.0,456.67
17741,1.45,1655.0
17750,1.45,935.0
17756,1.45,1030.0
17781,1.45,1595.0
17813,1.45,1180.0
17830,1.45,483.33
17857,1.45,492.5
17884,1.45,527.5
17947,1.45,530.0
18075,1.45,935.0
18114,2.4,462.5
18116,1.45,1165.0
18142,1.45,1695.0
18168,1.45,492.5
18179,1.45,1325.0
18208,1.45,1295.0
18219,1.45,1915.0
18328,1.45,1525.0
18364,1.5,1495.0
18365,1.45,1460.0
18402,1.45,1280.0
18472,1.45,1780.0
18488,1.45,1785.0
18520,1.45,1335.0
18545,1.45,618.33
18595,1.45,1725.0
18602,1.45,1120.0
18634,1.45,656.67
18640,1.45,1845.0
18648,2.2,1205.0
18690,1.8,1500.0
18802,1.45,1620.0
18827,1.45,1850.0
18834,2.15,1115.0
18860,1.45,1490.0
18865,1.45,495.0
18928,1.45,1625.0
18945,1.8,1295.0
18986,1.45,1445.0
18993,4.5,571.67
19027,1.45,1990.0
19071,1.45,730.0
19124,1.45,1660.0
19131,1.45,1595.0
19143,1.8,481.25
19195,1.45,477.5
19206,1.8,1370.0
19212,1.45,463.75
19255,1.45,840.0
19305,2.2,907.5
19316,1.45,695.0
19322,1.45,1740.0
19328,1.45,620.0
19388,1.45,925.0
19407,1.5,447.5
19413,2.0,453.75
19425,1.8,1145.0
19441,1.45,1810.0
19481,1.45,1050.0
19489,1.8,1830.0
19519,1.45,458.33
19533,1.45,1885.0
19572,2.25,1985.0
19589,1.45,1105.0
19633,1.45,585.0
19672,1.45,900.0
19758,1.45,603.33
19761,1.45,1510.0
19785,1.8,1895.0
19810,1.45,1860.0
19900,1.45,463.33
19928,1.45,965.0
19949,1.8,1805.0
19950,1.45,1785.0
19952,1.45,1630.0
19954,2.2,1240.0
19964,2.4,1135.0
19990,1.45,600.0
19993,1.45,536.67
20003,1.45,1330.0
20004,1.45,1920.0
20017,1.45,880.0
20050,1.5,830.0
20063,2.15,473.33
20148,1.45,967.5
20164,2.15,1910.0
20186,1.45,577.5
20197,1.8,1945.0
20251,1.45,895.0
20339,1.45,631.67
20381,1.45,762.5
20576,1.45,1210.0
20610,1.45,1505.0
20639,1.45,1895.0
20652,1.45,1315.0
20661,1.8,892.5
20710,1.45,1020.0
20724,1.45,1040.0
20726,1.45,1535.0
20755,1.45,456.25
20756,1.45,491.25
20757,1.45,1780.0
20791,1.45,905.0
20815,1.45,1560.0
20818,1.45,1975.0
20823,1.45,551.67
20847,1.45,1615.0
20916,1.45,445.0
20952,1.5,628.33
20955,1.45,742.5
20957,1.45,1190.0
20965,1.45,1970.0
21006,1.45,870.0
21015,1.45,1640.0
21016,3.0,1065.0
21021,3.0,1255.0
21025,1.45,1775.0
21087,1.8,850.0
21101,1.45,1255.0
21174,1.45,1710.0
21177,1.45,621.67
21206,1.45,1230.0
21299,1.45,442.5
21327,4.5,656.67
21370,2.15,790.0
21382,1.45,1995.0
21385,1.45,568.33
21389,2.45,1255.0
21435,1.45,615.0
21496,1.45,877.5
21507,1.45,472.5
21563,1.45,491.25
21575,1.45,1290.0
21618,1.45,1260.0
21727,1.45,1290.0
21772,2.15,1860.0
21822,2.0,1805.0
21826,1.45,586.67
21859,1.45,807.5
21920,1.45,566.67
21921,1.45,1225.0
21949,1.8,1380.0
21960,1.45,770.0
21992,2.45,785.0
22026,1.45,1545.0
22035,1.45,1945.0
22044,1.45,505.0
22121,1.45,537.5
22141,1.45,500.0
22149,1.5,1225.0
22181,1.45,1170.0
22222,1.45,1315.0
22228,1.45,1500.0
22229,1.45,460.0
22245,1.45,1610.0
22299,1.45,1785.0
22315,1.45,540.0
22328,1.45,865.0
22336,1.45,852.5
22345,1.45,732.5
22368,1.45,1280.0
22418,1.45,1390.0
22429,1.45,1030.0
22432,1.8,581.67
22503,1.45,610.0
22540,1.45,1745.0
22598,1.45,1845.0
22607,1.45,1250.0
22622,1.45,1965.0
22627,1.45,1720.0
22629,1.45,1765.0
22683,2.55,1360.0
22741,1.45,1590.0
22778,1.45,1895.0
22786,1.5,990.0
22835,1.45,447.5
22848,1.45,1485.0
22871,1.45,1660.0
22916,1.45,782.5
22976,1.45,1205.0
22984,1.45,491.25
22985,1.45,1650.0
23004,1.45,562.5
23010,1.45,1625.0
23047,1.45,1990.0
23076,1.45,865.0
23078,1.45,576.67
23090,1.95,1420.0
23130,1.45,562.5
23145,1.8,1725.0
23151,1.45,1685.0
23181,1.45,1890.0
23229,1.45,477.5
23234,1.45,500.0
23265,1.45,1405.0
23296,1.45,1960.0
23298,1.45,1725.0
23311,1.45,607.5
23348,2.55,1490.0
23425,1.8,1195.0
23437,1.45,1885.0
23456,1.45,770.0
23502,1.45,460.0
23561,1.45,1970.0
23585,1.45,470.0
23590,2.0,1180.0
23598,1.45,460.0
23613,1.8,1745.0
23625,1.45,1875.0
23671,1.8,1010.0
23685,1.45,1965.0
23700,1.45,1060.0
23714,1.45,1780.0
23733,1.45,488.75
23748,1.45,443.75
23782,1.8,1515.0
23793,1.45,752.5
23805,1.45,1100.0
23839,1.45,1725.0
23846,1.8,1330.0
23906,1.45,517.5
23951,1.45,1340.0
23981,1.45,630.0
23991,1.45,642.5
24013,1.45,486.25
24024,2.45,493.33
24032,1.45,935.0
24112,1.45,491.25
24128,1.45,877.5
24185,1.45,593.33
24211,1.45,1345.0
24217,1.45,800.0
24221,1.45,1550.0
24223,1.45,700.0
24237,1.45,445.0
24247,1.45,740.0
24252,1.45,997.5
24254,1.45,885.0
24271,1.45,626.67
24291,1.45,975.0
24301,1.8,562.5
24343,1.45,475.0
24365,1.45,605.0
24380,3.5,1930.0
24469,1.45,1680.0
24495,1.45,528.33
24515,1.45,452.5
24547,1.45,640.0
24571,2.2,602.5
24576,1.45,521.67
24592,1.45,1600.0
24600,1.45,453.33
24602,1.45,1000.0
24606,1.45,1045.0
24639,1.45,920.0
24676,1.45,855.0
24689,1.5,1980.0
24714,1.45,885.0
24726,1.95,495.0
24733,1.45,825.0
24753,1.45,1435.0
24757,1.45,935.0
24787,1.45,1210.0
24803,1.45,1980.0
24815,1.45,1730.0
24831,1.45,1335.0
24848,1.45,1945.0
24849,1.45,1100.0
24860,2.25,1770.0
24867,1.45,1330.0
24889,1.8,620.0
24920,1.45,1955.0
24931,2.45,967.5
24960,1.45,496.67
24964,1.45,1995.0
24966,1.45,1395.0
25011,1.45,805.0
25015,1.45,1640.0
25050,1.45,615.0
25080,1.45,740.0
25097,1.8,588.33
25098,1.45,1150.0
25106,1.8,551.67
25153,2.25,1075.0
25168,1.45,491.25
25198,1.8,1845.0
25202,1.45,1080.0
25209,1.45,1230.0
25219,1.95,1455.0
25233,1.45,1105.0
25253,1.45,642.5
25304,1.45,695.0
25305,1.45,1740.0
25307,1.45,1300.0
25330,1.45,1285.0
25361,1.45,820.0
25399,1.45,477.5
25450,1.45,1940.0
25453,2.2,1210.0
25480,1.45,905.0
25503,1.45,542.5
25505,1.45,456.25
25513,1.45,1575.0
25539,1.95,1015.0
25543,1.45,1585.0
25574,1.45,845.0
25584,1.45,447.5
25589,1.45,1880.0
25613,1.45,860.0
25631,1.45,975.0
25637,1.45,1610.0
25639,1.45,1770.0
25646,1.45,1940.0
25649,1.45,1760.0
25657,1.45,458.33
25685,1.45,1935.0
25691,2.4,1220.0
25696,1.45,462.5
25798,1.45,1310.0
25837,1.45,1330.0
25860,1.45,1420.0
25901,1.45,1935.0
25930,1.45,1085.0
25933,1.45,1815.0
25942,1.45,1700.0
25945,1.45,661.67
25965,2.45,1995.0
26052,1.45,1165.0
26061,1.45,895.0
26127,1.45,1950.0
26146,1.45,452.5
26149,1.45,496.67
26150,1.45,887.5
26170,1.45,1480.0
26230,1.45,1860.0
26244,1.45,1090.0
26262,1.45,1350.0
26278,1.45,1230.0
26316,1.45,565.0
26374,1.45,463.33
26390,1.45,1165.0
26397,1.45,1735.0
26413,2.2,600.0
26499,1.45,895.0
26523,1.45,468.33
26542,1.45,1430.0
26558,1.45,581.67
26646,1.8,1795.0
26652,1.45,588.33
26688,1.45,1285.0
26714,1.45,962.5
26731,1.45,1740.0
26737,1.45,845.0
26805,1.45,1660.0
26813,1.45,492.5
26819,1.8,453.33
26824,1.95,1480.0
26842,1.45,1185.0
27046,1.45,1990.0
27062,2.0,1585.0
27082,1.45,980.0
27124,1.45,1735.0
27135,1.45,623.33
27145,1.45,1495.0
27171,1.45,1480.0
27173,1.45,1060.0
27180,1.45,1485.0
27204,1.45,452.5
27266,1.45,1555.0
27287,1.45,1695.0
27295,1.45,1900.0
27331,2.4,965.0
27333,1.45,492.5
27338,1.45,995.0
27342,1.45,498.75
27355,1.8,635.0
27372,2.2,1120.0
27411,1.45,1085.0
27425,1.45,1740.0
27467,2.4,1035.0
27575,1.45,1195.0
27585,1.95,955.0
27618,1.45,1140.0
27641,1.45,1960.0
27649,1.45,975.0
27678,1.45,1460.0
27704,1.45,602.5
27746,1.8,482.5
27758,1.45,470.0
27784,1.45,472.5
27801,1.45,1950.0
27860,1.8,665.0
27872,1.45,441.25
27895,1.45,1360.0
27899,1.45,1175.0
27903,1.45,458.33
27971,1.45,1805.0
27979,1.45,638.33
27990,1.95,451.25
28056,2.45,815.0
28155,1.45,820.0
28181,2.15,875.0
28234,1.45,453.33
28251,1.45,471.25
28287,1.8,1890.0
28329,1.45,787.5
28381,1.5,952.5
28399,2.4,503.33
28420,1.45,785.0
28442,1.45,450.0
28445,1.45,1990.0
28448,1.45,1855.0
28474,1.45,1290.0
28479,1.45,1615.0
28513,1.45,1465.0
28516,1.45,945.0
28551,1.45,1990.0
28559,1.45,643.33
28572,1.45,630.0
28574,2.45,445.0
28582,1.45,1370.0
28620,1.5,1240.0
28641,1.45,1655.0
28656,1.45,1880.0
28669,1.8,1585.0
28672,1.8,560.0
28684,1.45,530.0
28692,1.45,1325.0
28717,4.5,985.0
28719,1.45,1920.0
28735,1.45,1610.0
28744,1.45,1310.0
28753,1.45,543.33
28767,1.45,1485.0
28787,1.45,977.5
28790,1.45,526.67
28845,1.45,1525.0
28862,1.45,1795.0
28873,1.45,1545.0
28972,1.45,755.0
28976,1.45,441.67
28992,1.45,1465.0
29038,1.45,500.0
29058,1.45,536.67
29087,1.95,1340.0
29111,2.25,890.0
29113,1.45,1085.0
29141,1.95,445.0
29168,1.45,485.0
29240,1.45,655.0
29242,1.45,955.0
29270,1.8,536.67
29292,1.45,745.0
29302,1.45,1970.0
29308,1.45,885.0
29312,1.45,441.25
29326,1.45,1835.0
29340,1.45,1905.0
29366,1.8,1560.0
29410,1.45,712.5
29414,1.45,940.0
29443,1.45,990.0
29448,1.45,1185.0
29449,1.45,1370.0
29546,1.45,1410.0
29649,1.45,1845.0
29699,1.45,493.75
29702,1.45,1690.0
29708,1.45,867.5
29720,1.45,455.0
29798,1.45,1605.0
29825,1.45,445.0
29848,1.45,962.5
29890,1.8,520.0
29918,1.45,1635.0
29922,1.45,577.5
29926,1.45,555.0
29936,1.45,1735.0
29974,1.45,1750.0
29987,1.45,885.0
29993,1.5,1250.0
30041,1.45,511.67
30050,1.45,492.5
30072,1.45,1420.0
30075,1.45,1825.0
30077,1.5,1480.0
30096,1.45,1915.0
30101,1.45,1160.0
30122,1.45,1205.0
30125,1.8,1945.0
30126,3.0,695.0
30143,1.45,950.0
30161,1.45,1670.0
30197,1.45,1675.0
30200,1.45,1960.0
30208,1.45,1930.0
30211,1.5,885.0
30216,1.45,521.67
30217,1.45,1855.0
30254,1.45,500.0
30279,1.45,1450.0
30289,1.45,1850.0
30302,1.45,1450.0
30305,1.45,628.33
30331,1.45,1595.0
30350,1.45,1725.0
30352,1.45,842.5
30365,1.45,715.0
30379,4.5,1975.0
30386,4.5,470.0
30473,1.45,1850.0
30479,1.45,658.33
30489,1.45,1735.0
30553,1.45,1420.0
30621,1.45,860.0
30643,1.45,606.67
30655,1.45,1400.0
30728,1.45,1545.0
30760,1.45,595.0
30868,1.45,1330.0
30875,1.8,1255.0
30886,1.45,1365.0
30913,1.45,476.25
30923,1.45,487.5
30962,1.45,797.5
30976,1.45,1175.0
30986,1.45,1440.0
31043,1.45,970.0
31063,1.45,1955.0
